[2025-07-23 17:29:12] (Elapsed: 4.19s) Detected: car with confidence 0.65
[2025-07-23 17:29:12] (Elapsed: 4.19s) Detected: car with confidence 0.59
[2025-07-23 17:29:12] (Elapsed: 4.19s) Detected: car with confidence 0.57
[2025-07-23 17:29:12] (Elapsed: 4.19s) Detected: car with confidence 0.52
[2025-07-23 17:29:12] (Elapsed: 4.19s) Detected: car with confidence 0.50
[2025-07-23 17:29:12] (Elapsed: 4.19s) Detected: car with confidence 0.43
[2025-07-23 17:29:12] (Elapsed: 4.19s) Detected: car with confidence 0.42
[2025-07-23 17:29:12] (Elapsed: 4.19s) Processing frame 9
[2025-07-23 17:29:12] (Elapsed: 4.41s) Detected: car with confidence 0.90
[2025-07-23 17:29:12] (Elapsed: 4.41s) Detected: car with confidence 0.87
[2025-07-23 17:29:12] (Elapsed: 4.41s) Detected: car with confidence 0.81
[2025-07-23 17:29:12] (Elapsed: 4.41s) Detected: car with confidence 0.81
[2025-07-23 17:29:12] (Elapsed: 4.41s) Detected: car with confidence 0.78
[2025-07-23 17:29:12] (Elapsed: 4.41s) Detected: car with confidence 0.69
[2025-07-23 17:29:12] (Elapsed: 4.41s) Detected: car with confidence 0.55
[2025-07-23 17:29:12] (Elapsed: 4.41s) Detected: car with confidence 0.53
[2025-07-23 17:29:12] (Elapsed: 4.41s) Detected: car with confidence 0.53
[2025-07-23 17:29:12] (Elapsed: 4.41s) Detected: car with confidence 0.48
[2025-07-23 17:29:12] (Elapsed: 4.41s) Detected: car with confidence 0.39
[2025-07-23 17:29:12] (Elapsed: 4.41s) Detected: car with confidence 0.38
[2025-07-23 17:29:12] (Elapsed: 4.41s) Detected: car with confidence 0.30
[2025-07-23 17:29:12] (Elapsed: 4.41s) Detected: car with confidence 0.25
[2025-07-23 17:29:12] (Elapsed: 4.42s) Processing frame 10
[2025-07-23 17:29:12] (Elapsed: 4.67s) Detected: car with confidence 0.90
[2025-07-23 17:29:12] (Elapsed: 4.67s) Detected: car with confidence 0.85
[2025-07-23 17:29:12] (Elapsed: 4.67s) Detected: car with confidence 0.79
[2025-07-23 17:29:12] (Elapsed: 4.67s) Detected: car with confidence 0.79
[2025-07-23 17:29:12] (Elapsed: 4.67s) Detected: car with confidence 0.77
[2025-07-23 17:29:12] (Elapsed: 4.67s) Detected: car with confidence 0.66
[2025-07-23 17:29:12] (Elapsed: 4.67s) Detected: car with confidence 0.64
[2025-07-23 17:29:12] (Elapsed: 4.67s) Detected: car with confidence 0.53
[2025-07-23 17:29:12] (Elapsed: 4.67s) Detected: car with confidence 0.53
[2025-07-23 17:29:12] (Elapsed: 4.67s) Detected: car with confidence 0.49
[2025-07-23 17:29:12] (Elapsed: 4.67s) Detected: car with confidence 0.49
[2025-07-23 17:29:12] (Elapsed: 4.67s) Detected: car with confidence 0.39
[2025-07-23 17:29:12] (Elapsed: 4.67s) Detected: car with confidence 0.36
[2025-07-23 17:29:12] (Elapsed: 4.67s) Detected: car with confidence 0.27
[2025-07-23 17:29:12] (Elapsed: 4.67s) Processing frame 11
[2025-07-23 17:29:14] (Elapsed: 6.64s) Detected: car with confidence 0.90
[2025-07-23 17:29:14] (Elapsed: 6.64s) Detected: car with confidence 0.84
[2025-07-23 17:29:14] (Elapsed: 6.64s) Detected: car with confidence 0.79
[2025-07-23 17:29:14] (Elapsed: 6.64s) Detected: car with confidence 0.78
[2025-07-23 17:29:14] (Elapsed: 6.64s) Detected: car with confidence 0.71
[2025-07-23 17:29:14] (Elapsed: 6.64s) Detected: car with confidence 0.65
[2025-07-23 17:29:14] (Elapsed: 6.64s) Detected: car with confidence 0.65
[2025-07-23 17:29:14] (Elapsed: 6.64s) Detected: car with confidence 0.61
[2025-07-23 17:29:14] (Elapsed: 6.64s) Detected: car with confidence 0.55
[2025-07-23 17:29:14] (Elapsed: 6.64s) Detected: car with confidence 0.48
[2025-07-23 17:29:14] (Elapsed: 6.64s) Detected: car with confidence 0.42
[2025-07-23 17:29:14] (Elapsed: 6.64s) Detected: car with confidence 0.37
[2025-07-23 17:29:14] (Elapsed: 6.64s) Detected: car with confidence 0.35
[2025-07-23 17:29:14] (Elapsed: 6.64s) Processing frame 12
[2025-07-23 17:29:14] (Elapsed: 6.78s) Detected: car with confidence 0.88
[2025-07-23 17:29:14] (Elapsed: 6.78s) Detected: car with confidence 0.84
[2025-07-23 17:29:14] (Elapsed: 6.78s) Detected: car with confidence 0.77
[2025-07-23 17:29:14] (Elapsed: 6.78s) Detected: car with confidence 0.75
[2025-07-23 17:29:14] (Elapsed: 6.78s) Detected: car with confidence 0.72
[2025-07-23 17:29:14] (Elapsed: 6.78s) Detected: car with confidence 0.72
[2025-07-23 17:29:14] (Elapsed: 6.78s) Detected: car with confidence 0.66
